Epoch,Motif,Distance
1,9,1991.648953662885
2,9,1648.5290019961321
3,9,1674.6245271904597
1,0,inf
1,0,inf
1,0,1905.152694485836
1,0,inf
1,0,1803.916780332788
1,0,1841.2802832988352
1,0,1294.7292669256335
1,0,1839.03834776648
1,0,1578.5065071037084
1,0,2376.832949547812
1,0,inf
1,0,1781.1329832811698
1,0,inf
1,0,inf
1,0,1437.1415034462452
1,0,3293.341867577413
1,0,2110.8564436695474
1,0,inf
1,0,1585.9355828575235
1,0,1836.1159417438428
1,0,inf
1,0,3865.802201106655
1,0,1822.7723280653945
1,0,2158.079161343712
1,0,inf
1,0,1991.475371985946
1,0,inf
1,0,2010.7680274110671
1,0,1727.8400276098312
1,0,1507.425392868077
1,0,1614.37208734206
1,0,1584.8732249393447
1,0,2045.334045876715
1,0,inf
1,0,1612.9437083137666
1,0,inf
1,0,inf
1,0,1587.802803916584
1,0,2506.402262010476
1,0,1991.5700898360296
1,0,inf
1,0,2073.8855592942723
1,0,1678.7984997387923
1,0,inf
1,0,3036.5685294358104
1,0,1791.4929723237135
1,0,1583.655309125871
1,0,191.69571097306468
1,0,inf
1,0,211.61025529610887
1,0,263.3245865668928
1,0,839.7958417294842
1,0,172.6625387712166
1,0,451.4361208720757
1,0,1319.678418561874
1,0,inf
1,0,1143.535973240338
1,0,inf
1,0,inf
1,0,202.20442627421096
1,0,2711.8540035830224
1,0,1411.400602186025
1,0,inf
1,0,608.4846885591596
1,0,1356.641560452636
1,0,inf
1,0,3212.0630363654072
1,0,1211.5093297028427
1,0,1418.857771301657
1,0,inf
1,0,3335.1685668437653
1,0,2736.165398846303
1,0,2123.1431064753338
1,0,2876.023664141034
1,0,2954.1034260428005
1,0,2969.391819396627
1,0,inf
1,0,2499.355696246996
1,0,inf
1,0,inf
1,0,2550.869675086064
1,0,3862.9013472996858
1,0,2402.483722472052
1,0,inf
1,0,1987.8393807565344
1,0,2453.2420651680623
1,0,inf
1,0,4601.317857567241
1,0,3344.031704510513
1,0,2599.5678687050868
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,1357.5337674656828
1,0,1370.3358047476677
1,0,1324.5059538290177
1,0,1316.1670964142788
1,0,1862.8026059260867
1,0,inf
1,0,1314.2474733719855
1,0,inf
1,0,inf
1,0,1102.795759090091
1,0,2562.236715525941
1,0,1396.1824191466455
1,0,inf
1,0,1556.4148927453036
1,0,1487.870576685455
1,0,inf
1,0,3281.2448380818773
1,0,1458.5186652139023
1,0,1743.9208844639516
1,0,711.1629315923293
1,0,548.5463467597401
1,0,611.6196821345278
1,0,1259.1845282596576
1,0,inf
1,0,997.9789250657992
1,0,inf
1,0,inf
1,0,546.1413052797249
1,0,2337.229560628028
1,0,1385.0619393831216
1,0,inf
1,0,786.2825162971451
1,0,1114.1114388548642
1,0,inf
1,0,2381.2954000090986
1,0,961.2639198833136
1,0,1384.261277271181
1,0,304.0828184452927
1,0,440.1933537897899
1,0,1245.016683909453
1,0,inf
1,0,1123.7016318226292
1,0,inf
1,0,inf
1,0,222.77837796446173
1,0,2656.184722089665
1,0,1661.403707170007
1,0,inf
1,0,625.1528981922455
1,0,1215.1223277233396
1,0,inf
1,0,3067.4503481402376
1,0,863.6976559712176
1,0,1430.2706674790534
1,0,805.4362220638577
1,0,1706.254116366944
1,0,inf
1,0,1133.2940793169455
1,0,inf
1,0,inf
1,0,791.765324359069
1,0,3102.1504377610345
1,0,1823.131507771424
1,0,inf
1,0,1210.667173657192
1,0,1583.598976889191
1,0,inf
1,0,3598.714414025628
1,0,1383.3764777702586
1,0,1586.805497997963
1,0,1834.906772467599
1,0,inf
1,0,1286.4571868616265
1,0,inf
1,0,inf
1,0,1288.312818828927
1,0,2781.8405738745328
1,0,1434.7925525502842
1,0,inf
1,0,1519.6140910500185
1,0,1555.013203948161
1,0,inf
1,0,3055.601628057429
1,0,1411.8046497800697
1,0,1507.8333681967508
1,0,inf
1,0,2096.879890753192
1,0,inf
1,0,inf
1,0,1917.660674627473
1,0,2458.6760584361555
1,0,2193.3503252122964
1,0,inf
1,0,3022.3571155936697
1,0,2111.0603320645423
1,0,inf
1,0,2783.016166659245
1,0,1989.1147066529732
1,0,2065.7290002096424
1,0,2106.053639655332
1,0,inf
1,0,inf
1,0,3054.203900878206
1,0,3014.2754397730223
1,0,2681.525474915282
1,0,inf
1,0,3423.476514425682
1,0,2688.1292795927266
1,0,inf
1,0,3740.046982764865
1,0,2794.15510101276
1,0,2509.930698851486
1,0,inf
1,0,inf
1,0,2363.172723754263
1,0,2542.6966370588434
1,0,1986.8577470700527
1,0,inf
1,0,2917.512339274145
1,0,2032.1461352079723
1,0,inf
1,0,3157.726969159204
1,0,2266.98463611756
1,0,2209.140533598141
1,0,inf
1,0,492.5306341103154
1,0,3208.019363287805
1,0,1418.1474981602182
1,0,inf
1,0,629.6283781177989
1,0,1304.9755429135594
1,0,inf
1,0,3590.775001932306
1,0,1323.1053915222308
1,0,1605.6399850896682
1,0,940.7625295274524
1,0,2682.491227168859
1,0,1347.914179982049
1,0,inf
1,0,885.7811744796228
1,0,1100.1283629827306
1,0,inf
1,0,2629.185789953008
1,0,1087.1617338271462
1,0,1183.8077234004963
1,0,2749.5005090424797
1,0,2732.354927677893
1,0,inf
1,0,3858.6818766668734
1,0,2532.9024478818446
1,0,inf
1,0,3636.6985512664096
1,0,2926.598011330199
1,0,2610.038389731849
1,0,3194.279143889036
1,0,inf
1,0,4352.4303965288655
1,0,3178.740149001722
1,0,inf
1,0,3519.861649625056
1,0,3485.60450879292
1,0,3794.954178786049
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,2252.5972023706167
1,0,1689.3023876124762
1,0,inf
1,0,2779.65527483165
1,0,2103.440164500708
1,0,1867.165394686422
1,0,1335.7030993878675
1,0,inf
1,0,2161.8988549448472
1,0,652.3307818462132
1,0,1502.6127067655202
1,0,inf
1,0,3691.499391086843
1,0,3941.740825917972
1,0,3405.402100567969
1,0,2550.4686518232497
1,0,1052.3211256963884
1,0,1505.3135268398123
1,0,1053.4990684530503
1,0,1312.9597697315762
1,0,1430.307267956023
1,1,2393.70370589707
1,1,607.8850754740824
1,1,1789.537789998036
1,1,2202.645725073723
1,1,796.331111572198
1,1,2464.424480591428
1,1,510.9268259110564
1,1,2080.457452223009
1,1,2261.569056163149
1,1,1438.573090808269
1,1,1943.21790350326
1,1,2569.00115835506
1,1,2526.39688900689
1,1,2909.09107304616
1,1,1497.876538494663
1,1,584.0329009939076
1,1,1216.502913421767
1,1,1086.0884743439565
1,1,555.3374194253998
1,1,554.9737461513259
1,1,449.0933907286896
1,1,inf
1,1,inf
1,1,1570.1572097792089
1,1,990.9509092888312
1,1,1857.0998108046451
1,1,2152.89600855762
1,1,1604.5942022689344
1,1,2352.1158085649704
1,1,1066.407246894566
1,1,1952.3388505028056
1,1,1935.637868470036
1,1,1511.4056394388272
1,1,2332.826944969511
1,1,2414.5661794345965
1,1,2896.960406925951
1,1,2610.187313069871
1,1,1581.0010692054757
1,1,949.50769088065
1,1,1327.968547994372
1,1,1432.6858478775086
1,1,1251.9298644789735
1,1,878.0395089299475
1,1,1191.756507850965
1,1,inf
1,1,inf
1,1,1721.2671529298905
1,1,2002.8040289385576
1,1,2287.842165828224
1,1,2627.878592370704
1,1,2553.0897872681694
1,1,1532.1626311650546
1,1,2011.8328412353244
1,1,2254.997344698474
1,1,2013.7456258317836
1,1,2092.643053203321
1,1,2509.6632507269896
1,1,2571.347757065447
1,1,2370.1806107636125
1,1,1645.5193580084576
1,1,1614.1922708355848
1,1,1631.0777905201294
1,1,1569.590653070662
1,1,1838.2402209516351
1,1,1360.9207916362318
1,1,1761.2833969772648
1,1,inf
1,1,inf
1,1,1676.840559193333
1,1,2710.927164059682
1,1,2344.753717135033
1,1,2809.618116131816
1,1,1470.079196773969
1,1,2290.5160670321698
1,1,2094.743223389453
1,1,1593.442640016102
1,1,2354.058024622285
1,1,2871.919577479369
1,1,3146.7490822104346
1,1,2731.394790145465
1,1,1781.6658570723423
1,1,1514.4950751460374
1,1,1706.7682539825769
1,1,1536.4367686405978
1,1,1664.5412565225072
1,1,1271.0668347882165
1,1,1615.4051868003594
1,1,inf
1,1,inf
1,1,1696.250022704898
1,1,695.8976210790187
1,1,2701.6433943966517
1,1,760.4598305832229
1,1,2060.9766160581435
1,1,2197.3514707188656
1,1,1520.6110743075103
1,1,2371.0792270103266
1,1,2549.2592376784028
1,1,2798.296346939909
1,1,2404.917975053586
1,1,1482.8805555213676
1,1,535.6485481988167
1,1,1195.7958043294243
1,1,1259.2297957410535
1,1,548.7910563549266
1,1,541.0852399085784
1,1,272.1922404352737
1,1,inf
1,1,inf
1,1,1293.5549398403043
1,1,2523.269074079434
1,1,1860.338458648076
1,1,2270.164492941471
1,1,2267.2148188987694
1,1,2109.371504767793
1,1,2364.036226056337
1,1,2422.0937023228544
1,1,2651.120031657652
1,1,2590.1824557103364
1,1,1891.4664467021996
1,1,1794.3883514407166
1,1,1629.150188657872
1,1,1738.6685100927898
1,1,2149.4078124199227
1,1,1548.5942394980575
1,1,1838.1484410695043
1,1,inf
1,1,inf
1,1,1656.2335874960686
1,1,769.8545105454839
1,1,1873.6185959315808
1,1,2086.518938298119
1,1,1571.8995832737664
1,1,2117.6526159997966
1,1,2182.763981151446
1,1,2519.904802050122
1,1,2326.9025549721014
1,1,1431.7577138552745
1,1,757.0234276032583
1,1,1095.248542190832
1,1,1250.4824013247644
1,1,905.9849286710038
1,1,690.595896421294
1,1,796.9058531098282
1,1,inf
1,1,inf
1,1,1236.3604681603235
1,1,2018.2086192935064
1,1,2049.4174184399044
1,1,1384.0668106711348
1,1,1999.5489480470303
1,1,2463.30087358754
1,1,2369.845337507504
1,1,2722.278517654374
1,1,1451.3847136250886
1,1,969.2491833218728
1,1,1322.203036784971
1,1,1246.4824278473118
1,1,1137.772871390665
1,1,786.7749787793689
1,1,1160.6399116770183
1,1,inf
1,1,inf
1,1,1290.3608061528923
1,1,2229.363639916816
1,1,2396.795074844393
1,1,2146.67729644434
1,1,2512.290419376489
1,1,2567.716442406241
1,1,2555.5887456839864
1,1,1914.3101974852573
1,1,1776.8714841825984
1,1,1796.6160955206424
1,1,2061.339583579075
1,1,2557.079005280362
1,1,1713.5407471878077
1,1,1940.0721144968409
1,1,inf
1,1,inf
1,1,1846.8509657564616
1,1,1872.6362555644107
1,1,2242.294706639187
1,1,2638.575339844524
1,1,2938.91591743365
1,1,2743.955638549152
1,1,1835.9531426029089
1,1,1699.8007566849583
1,1,1556.4575890762387
1,1,1706.5979704521696
1,1,1975.5872006916377
1,1,1423.2356599681343
1,1,1803.91268161478
1,1,inf
1,1,inf
1,1,1608.680882920833
1,1,inf
1,1,inf
1,1,inf
