Epoch,Motif,Distance
1,0,1880.2271639402509
1,0,1538.1664342031008
1,0,2216.24635138214
1,0,inf
1,0,1811.6142832342268
1,0,1504.7013176367766
1,0,1514.9657893280867
1,0,1442.7518314871486
1,0,1959.596504032951
1,0,2552.549167631023
1,0,2824.5695026184203
1,0,2373.4931268297178
1,0,1767.1244551433892
1,0,1784.33656733663
1,0,2830.694511152044
1,0,3734.354165066748
1,0,inf
1,0,2169.591437374086
1,0,1760.7792818298633
1,0,3642.5547017846093
1,0,1481.5347045170681
1,0,1934.0664666163982
1,0,2319.0432986238816
1,0,inf
1,0,1538.7632337730897
1,0,2606.7305553337023
1,0,inf
1,0,1763.8990420301423
1,0,1439.878693960124
1,0,1471.1472452559333
1,0,1545.26351297244
1,0,1624.0742681274014
1,0,1873.4782391789347
1,0,2473.8967238744485
1,0,2141.430187411813
1,0,1849.1717386656087
1,0,1595.2093891234797
1,0,2380.512661851149
1,0,3574.535582926257
1,0,inf
1,0,1983.247844533784
1,0,1806.9778828621097
1,0,3044.402187245282
1,0,1596.2441463210778
1,0,1649.5728014386311
1,0,1580.4303435749182
1,0,inf
1,0,2587.628152178936
1,0,inf
1,0,1050.6300254506427
1,0,535.0203056688852
1,0,234.1462156802514
1,0,741.3655477746764
1,0,1185.6167950448335
1,0,2181.6573632694954
1,0,2283.986373125836
1,0,2155.8160007569927
1,0,408.9086273275849
1,0,767.7261517173697
1,0,2707.715095735305
1,0,3740.524718463119
1,0,inf
1,0,1813.9723334174114
1,0,623.3027263668025
1,0,3828.6879838255604
1,0,867.8518032010626
1,0,989.9239255710354
1,0,1511.8330046859069
1,0,inf
1,0,inf
1,0,2366.7779608541878
1,0,2489.541500593776
1,0,2627.0386272330693
1,0,2751.2813654247357
1,0,2624.9954904630163
1,0,3069.2888771845646
1,0,3438.870935048648
1,0,2803.536990805271
1,0,2369.8781718042674
1,0,2251.717240003874
1,0,3240.251588976276
1,0,4353.482483905374
1,0,inf
1,0,2414.6070031782324
1,0,3429.885340713222
1,0,4131.410788211716
1,0,2756.867335512399
1,0,2499.245226920453
1,0,2748.4088661722617
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,inf
1,0,1151.0537928547953
1,0,1143.6991518751774
1,0,1300.2518644049974
1,0,1514.7713489076282
1,0,2132.451762991223
1,0,2448.240064007356
1,0,1796.844740268308
1,0,1149.4384050895144
1,0,1344.3109872557552
1,0,2556.44603790625
1,0,3339.0524519564683
1,0,inf
1,0,1880.9413516581758
1,0,1462.6792950242966
1,0,3089.8168099430018
1,0,1089.932076897903
1,0,1357.5168049090043
1,0,1712.4130592452373
1,0,inf
1,0,472.5237604857906
1,0,863.0947045690732
1,0,1127.5374824332857
1,0,1993.4100127374288
1,0,2527.8723473490877
1,0,1802.160689570021
1,0,629.7792528724909
1,0,749.2459345628673
1,0,2465.400641168118
1,0,3464.3311307923286
1,0,inf
1,0,1750.4590130354777
1,0,603.2925817113527
1,0,3234.1949986332875
1,0,787.4273160979412
1,0,862.223294325399
1,0,1306.7271904247316
1,0,inf
1,0,817.0219552534747
1,0,1185.6150066398984
1,0,2289.8241983289745
1,0,2566.3244527489783
1,0,2166.4684297192553
1,0,475.8595979210609
1,0,757.6942606291353
1,0,2900.9715706064403
1,0,4138.615036655482
1,0,inf
1,0,1984.3461468128723
1,0,470.7867187830595
1,0,3990.0463784488584
1,0,885.0755347824884
1,0,888.7685206719477
1,0,1403.4228575420643
1,0,inf
1,0,1406.1960731739073
1,0,2243.4310728247538
1,0,2281.0361236829167
1,0,2338.1793075605215
1,0,881.0170002400147
