Keypoint Pair,Motif 0,Motif 1,Motif 2,Motif 3,Motif 4,Motif 5,Motif 6,Motif 7,Motif 8,Motif 9
r-feet - r-elb,104.05,60.46,54.99,83.40,130.80,82.76,64.90,118.58,47.62,90.03
r-feet - l-hand,56.63,40.66,37.06,37.32,105.53,65.69,51.65,44.57,32.42,52.54
r-feet - r-hand,94.53,39.52,37.33,63.54,134.12,44.18,45.21,124.69,29.54,65.65
r-feet - center_hip,55.26,46.15,48.22,43.01,101.21,51.82,49.70,55.16,42.66,50.46
r-feet - l-hip,54.78,54.49,57.04,46.58,107.67,56.33,57.14,50.82,52.98,50.97
r-feet - r-hip,60.50,46.76,46.98,45.30,97.80,52.98,50.59,62.03,40.18,55.22
r-feet - l-knee,30.54,42.35,39.94,25.98,67.44,41.39,41.58,23.83,46.86,28.81
r-feet - r-knee,25.79,19.76,19.82,21.65,47.75,23.62,21.36,24.08,15.82,24.81
r-feet - l-feet,18.40,37.80,25.57,24.91,27.28,37.16,34.89,12.55,45.32,25.10
center_feet - l-eye,123.78,88.34,81.95,113.69,125.89,134.83,92.98,122.84,67.73,126.04
center_feet - r-eye,126.27,88.87,82.53,114.50,130.22,137.88,93.29,125.82,68.46,128.21
center_feet - l_ear,122.66,95.11,86.53,119.63,134.23,136.72,96.71,119.56,76.53,128.41
center_feet - r_ear,131.97,95.52,86.61,125.25,142.10,140.52,98.34,133.66,77.43,133.51
center_feet - mouth,116.63,78.80,74.09,103.96,120.25,122.26,84.27,117.82,59.42,117.11
center_feet - center_neck,110.93,88.26,81.28,111.14,148.12,114.05,91.12,111.11,77.59,112.73
center_feet - l_sho,105.32,86.39,79.70,104.30,140.69,123.64,90.35,98.24,71.45,112.36
center_feet - r_sho,116.78,89.59,81.08,113.47,139.32,128.23,92.98,116.39,75.47,121.41
center_feet - l-elb,78.75,58.62,53.35,70.32,116.36,91.55,65.59,71.94,43.35,81.64
center_feet - r-elb,106.06,63.53,58.10,92.94,130.66,86.96,68.37,122.46,53.87,95.27
center_feet - l-hand,54.23,29.29,28.88,40.50,98.63,52.13,39.99,47.08,19.84,50.97
center_feet - r-hand,97.08,34.49,32.49,69.94,131.40,51.48,41.89,128.30,22.97,70.66
center_feet - center_hip,55.31,42.40,45.48,49.75,97.58,46.63,45.99,58.72,39.54,53.29
center_feet - l-hip,53.74,47.12,51.61,51.17,102.39,46.92,50.05,54.12,44.93,52.11
center_feet - r-hip,61.87,47.78,47.68,54.20,96.33,52.49,51.43,65.94,43.49,59.59
center_feet - l-knee,28.58,28.09,29.35,25.69,59.91,27.40,27.93,26.64,28.68,26.80
center_feet - r-knee,27.11,30.92,30.55,30.76,49.66,23.42,31.21,27.95,34.37,29.11
center_feet - l-feet,10.72,19.87,13.99,14.88,16.82,20.16,18.52,6.53,24.47,14.20
center_feet - r-feet,8.37,18.20,12.67,10.25,10.57,17.22,16.82,6.19,20.91,11.59
